score,smiles,Name,SA_Score
0.826776928,O=c1c2ccc(Cl)c(F)c2nc(CN2CCNCC2)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_19735199,3.1137877644428826
0.826083863,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(Cl)cncc3c2=O)[nH][nH]c1=O,21982015_19737344_259505376,4.521552739755817
0.825595289,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(F)c(Cl)cc3c2=O)[nH][nH]c1=O,85344400_19737344_259505376,4.3531989479753275
0.825260895,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cn(CCF)nc3c2=O)[nH][nH]c1=O,95098605_19737344_259505376,4.74053943942832
0.824816805,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(Cl)ccc(F)c3c2=O)[nH][nH]c1=O,62996676_19737344_259505376,4.4507035633599425
0.82197547,COCC1=NNC(n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cc(N)c(C(=O)O)cc3c2=O)=NN1,3191201_49474209_259505376,4.665080137218303
0.821778744,O=c1c2ccc(Cl)c(F)c2nc([C@@]23CN[C@H](CN2)C3)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_100450863,5.075418651638591
0.8217004,O=C(O)c1c(-n2c([C@H]3C[C@H]4C[C@H]4N3)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_34595863,4.400386467566469
0.821351779,CN1CCNC[C@H]1c1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H]1C(=O)O,20475958_34363759_89223309,4.2988252989977225
0.820361239,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(Cl)cc(F)cc3c2=O)[nH][nH]c1=O,20475944_19737344_259505376,4.407967409513788
0.820354915,Nc1cc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n(C(=O)C3=NO[C@H](CO)C3)c(=O)c2cc1C(=O)O,3191201_34929315_259505376,4.570287394758173
0.819118252,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cnc(Cl)cc3c2=O)[nH][nH]c1=O,15684434_19737344_259505376,4.485808361057593
0.818313977,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3ccc(Cl)nc3c2=O)[nH][nH]c1=O,42684430_19737344_259505376,4.499514278217356
0.817769313,Nc1cc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n(C(=O)C3=NO[C@@H](CO)C3)c(=O)c2cc1C(=O)O,3191201_34929313_259505376,4.570287394758173
0.816965878,O=C1CNC[C@H](c2nc3c(F)c(Cl)ccc3c(=O)n2[C@]2(C(=O)O)C[C@@H](O)C2)N1,20475958_585669989_38540696,3.890846040683237
0.814546567,O=C(O)c1c(-n2c([C@@]34CN[C@H](CN3)C4)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_100450863,5.08711010553123
0.81356591,O=c1c2ccc(Cl)c(F)c2nc(C[C@@H]2CNCCN2)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_20357844,3.821308417779824
0.810337871,O=c1c2ccc(Cl)c(F)c2nc([C@@H]2CNCCN2)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_19363542,3.8309464963748434
0.809420869,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cn(CC(F)F)nc3c2=O)[nH][nH]c1=O,223249372_19737344_259505376,4.766586569386918
0.808753084,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3ccc(F)c(Cl)c3c2=O)[nH][nH]c1=O,3844208_19737344_259505376,4.464617217206097
0.80577248,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(F)c(F)cc(F)c3c2=O)[nH][nH]c1=O,61119424_19737344_259505376,4.579950343432443
0.805363345,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cncc(Cl)c3c2=O)[nH][nH]c1=O,95763849_19737344_259505376,4.533685875850493
0.805321066,Cc1ncc(C(=O)O)c2c(=O)n(C(=N)N3CCNC(=O)C3)c([C@@]3(N)CC3(F)F)nc12,1729539_19874146_39083022,4.226475180580627
0.803067458,O=C(O)c1c(-n2c(=O)c3ccc(Cl)c(F)c3nc2[C@]2(O)C[C@H](O)C2)[nH][nH]c1=O,20475958_19737344_1083812835,3.433109083124201
